Car_ID,Brand,Model,Year,Color,Engine_Type,Transmission, Price ,Quantity_In_Stock,Status
C0001,Toyota,Camry,2023,Red,Petrol,Automatic," $80,338 ",6,Available
C0002,Tesla,Model 3,2019,Red,Electric,Manual," $26,438 ",16,Available
C0003,Nissan,Qashqai,2018,Blue,Electric,Automatic," $50,158 ",20,Available
C0004,Hyundai,Sonata,2025,Red,Hybrid,Automatic," $33,026 ",3,Available
C0005,Toyota,RAV4,2016,White,Hybrid,Manual," $79,673 ",9,Reserved
C0006,Hyundai,Elantra,2019,White,Diesel,Automatic," $94,225 ",17,Sold
C0007,Mercedes,C-Class,2020,Gray,Petrol,Manual," $21,344 ",7,Reserved
C0008,Tesla,Model 3,2021,Gray,Hybrid,Manual," $48,814 ",14,Reserved
C0009,BMW,3 Series,2017,Blue,Electric,Manual," $34,430 ",14,Sold
C0010,Tesla,Model S,2015,Red,Hybrid,Manual," $42,137 ",0,Sold
C0011,Tesla,Model 3,2017,Silver,Electric,Automatic," $17,337 ",3,Available
C0012,Tesla,Model S,2016,Gray,Electric,Manual," $78,179 ",13,Reserved
C0013,Hyundai,Sonata,2018,Blue,Diesel,Manual," $92,616 ",2,Sold
C0014,Toyota,RAV4,2024,Silver,Hybrid,Automatic," $97,512 ",18,Reserved
C0015,Nissan,Altima,2019,Blue,Diesel,Manual," $89,268 ",17,Reserved
C0016,BMW,3 Series,2024,Black,Petrol,Manual," $36,006 ",10,Reserved
C0017,Nissan,Qashqai,2018,Silver,Petrol,Automatic," $30,586 ",2,Reserved
C0018,Nissan,Qashqai,2016,Black,Petrol,Manual," $71,105 ",15,Reserved
C0019,Tesla,Model S,2019,White,Diesel,Manual," $24,426 ",2,Sold
C0020,Toyota,Camry,2022,Blue,Electric,Manual," $68,271 ",2,Sold
C0021,BMW,3 Series,2020,Red,Diesel,Automatic," $60,882 ",19,Available
C0022,Tesla,Model X,2018,Red,Diesel,Automatic," $40,366 ",18,Sold
C0023,Tesla,Model 3,2024,Silver,Diesel,Automatic," $51,077 ",20,Reserved
C0024,Mercedes,E-Class,2019,Blue,Petrol,Manual," $33,547 ",8,Sold
C0025,Nissan,Altima,2016,Silver,Petrol,Manual," $48,205 ",2,Available
C0026,BMW,3 Series,2023,Black,Electric,Automatic," $94,847 ",5,Sold
C0027,Mercedes,E-Class,2020,Gray,Hybrid,Manual," $30,021 ",8,Available
C0028,Kia,Sportage,2016,Blue,Hybrid,Manual," $64,477 ",10,Sold
C0029,Tesla,Model 3,2024,Silver,Hybrid,Manual," $87,084 ",11,Sold
C0030,Hyundai,Tucson,2022,Gray,Diesel,Manual," $30,893 ",0,Available
C0031,Mercedes,E-Class,2016,Silver,Petrol,Automatic," $66,366 ",5,Reserved
C0032,Tesla,Model X,2018,Blue,Petrol,Automatic," $65,577 ",10,Reserved
C0033,Tesla,Model 3,2020,White,Petrol,Manual," $21,841 ",10,Sold
C0034,Toyota,Camry,2023,Blue,Petrol,Automatic," $89,206 ",18,Available
C0035,Kia,Cerato,2023,Blue,Hybrid,Manual," $65,267 ",5,Sold
C0036,Toyota,Camry,2017,Red,Electric,Automatic," $22,685 ",13,Available
C0037,Kia,Sportage,2024,Red,Diesel,Manual," $18,249 ",15,Sold
C0038,Nissan,Altima,2017,White,Electric,Automatic," $17,943 ",17,Available
C0039,Kia,Cerato,2022,Gray,Hybrid,Automatic," $79,781 ",19,Available
C0040,Tesla,Model X,2016,White,Diesel,Manual," $18,775 ",15,Sold
C0041,Nissan,Qashqai,2015,Blue,Hybrid,Manual," $48,152 ",15,Sold
C0042,Mercedes,E-Class,2018,Gray,Hybrid,Automatic," $52,741 ",19,Reserved
C0043,Hyundai,Sonata,2018,Silver,Diesel,Automatic," $24,981 ",17,Reserved
C0044,BMW,3 Series,2019,White,Diesel,Automatic," $34,474 ",8,Sold
C0045,BMW,5 Series,2020,White,Electric,Manual," $85,822 ",0,Reserved
C0046,BMW,X5,2022,White,Hybrid,Automatic," $99,941 ",11,Sold
C0047,Tesla,Model S,2019,White,Electric,Manual," $37,412 ",7,Available
C0048,Mercedes,GLA,2022,Black,Petrol,Automatic," $72,301 ",17,Available
C0049,Tesla,Model S,2020,Red,Diesel,Automatic," $58,158 ",5,Sold
C0050,Mercedes,C-Class,2024,Red,Diesel,Manual," $88,725 ",16,Reserved
C0051,Kia,Sportage,2020,Gray,Diesel,Automatic," $29,038 ",5,Sold
C0052,Kia,Sportage,2022,Gray,Diesel,Manual," $26,076 ",20,Available
C0053,Tesla,Model X,2022,Black,Hybrid,Manual," $33,622 ",13,Sold
C0054,Toyota,Camry,2018,Silver,Hybrid,Manual," $30,129 ",20,Reserved
C0055,BMW,X5,2015,Blue,Diesel,Automatic," $77,348 ",16,Available
C0056,Nissan,Sunny,2021,Gray,Diesel,Manual," $65,877 ",8,Available
C0057,Nissan,Altima,2018,Black,Diesel,Manual," $61,473 ",18,Available
C0058,Tesla,Model S,2023,Black,Electric,Automatic," $94,755 ",12,Available
C0059,Kia,Sportage,2020,Gray,Petrol,Manual," $91,552 ",4,Sold
